student_id	study_hours	attendance	assignment_completion	quiz_average	sleep_hours	phone_usage	dsa_problems	exam_days_remaining	final_score
S001	4.5	66	79	58	10.56	10.73	25	25	51
S002	2	55	89	93	5.96	4.34	27	14	66
S003	6	77	91	61	6.4	9.13	61	29	69
S004	1.5	88	95	96	8.8	8.75	37	11	55
S005	3.5	92	95	97	4.53	10.18	52	19	70
S006	3.2	34	69	81	8.36	8.61	62	24	78
S007	5.3	56	84	57	6.81	4.94	5	2	93
S008	2.5	76	81	59	9.45	9.4	4	23	86
S009	5.2	56	77	91	9.31	9.22	23	30	67
S010	1.5	76	55	55	6.15	7.63	78	21	61
S011	1.6	56	54	89	11	11.27	48	30	51
S012	3.4	78	63	87	7.32	8.58	57	19	92
S013	6.2	98	85	95	5.96	4.73	51	2	92
S014	7.2	87	92	95	10.79	6.1	23	10	96
S015	5.4	86	71	75	5.06	11.13	60	16	99
S016	4.5	85	72	77	8.65	5.07	8	4	63
S017	4.4	65	93	87	11.28	11.31	63	25	70
S018	6.3	83	64	62	6.54	8.94	39	15	86
S019	2.5	91	75	81	4.24	5.68	9	24	76
S020	2.8	84	72	60	8.31	4.95	21	26	53
S021	4.1	73	54	59	11.16	5.09	18	7	70
S022	6.1	95	82	82	10.8	10.79	29	9	93
S023	7.6	66	76	72	4.38	10.83	59	9	77
S024	8.2	77	57	75	7.72	7.64	6	20	58
S025	1.8	86	67	61	8.44	6.11	79	23	54
S026	3.2	91	74	54	10.09	10.32	17	12	71
S027	3.3	92	63	69	7.83	9.28	15	28	81
S028	6.1	94	71	97	10.55	7.31	78	24	71
S029	2.2	82	50	62	10.06	8.85	8	8	51
S030	3.3	88	80	81	7.8	4.06	56	27	84
S031	2.6	55	80	57	10.87	11.71	57	25	57
S032	6.2	54	70	88	8.81	11.86	55	16	99
S033	5.4	53	59	51	9.26	7.15	77	20	55
S034	6.6	62	73	68	10.35	10.09	20	14	89
S035	1.9	72	60	55	10.02	4.19	25	22	59
S036	2	83	92	71	10.54	9.43	56	16	93
S037	3	88	96	77	5.14	7.7	18	18	78
S038	4	67	58	60	6.27	5.39	25	19	67
S039	5	66	96	64	7.6	6.11	46	21	95
S040	6	88	57	57	7.7	5.03	32	29	64
S041	3	95	73	83	7.02	10.36	22	12	67
S042	4	94	72	86	4.59	5.74	24	17	59
S043	2.6	93	63	95	5.81	8.54	79	4	67
S044	4	90	71	74	10.11	9.52	64	24	85
S045	3	80	64	98	8.73	6.99	61	26	66
S046	2	60	78	94	7.5	4.9	9	25	76
S047	1	50	75	96	11.72	6.5	74	23	84
S048	2.7	70	69	68	4.76	10.93	23	28	85
S049	6.4	80	72	91	11.37	11.11	2	29	89
S050	5.5	68	56	67	7.6	6.45	77	18	63
