student_id,study_hours,attendance,assignment_completion,quiz_average,sleep_hours,phone_usage,dsa_problems,exam_days_remaining,final_score
S0001,5.4,95.0,65.0,43.0,5.96,4.44,13.0,39,62
S0002,4.3,89.0,73.0,59.0,6.96,4.37,22.0,52,67
S0003,5.7,79.0,63.0,66.0,7.02,1.01,16.0,9,67
S0004,7.2,70.0,70.0,100.0,7.57,4.67,24.0,41,82
S0005,4.1,86.0,47.0,80.0,5.36,7.33,31.0,8,67
S0006,4.1,83.0,78.0,52.0,7.71,2.31,52.0,14,68
S0007,7.3,89.0,75.0,79.0,3.75,8.12,29.0,33,80
S0008,5.9,86.0,63.0,49.0,6.24,6.72,3.0,23,62
S0009,3.7,91.0,85.0,88.0,6.41,3.66,58.0,21,81
S0010,5.5,72.0,89.0,65.0,7.76,5.15,18.0,55,72
S0011,3.7,94.0,51.0,71.0,7.03,9.5,34.0,12,66
S0012,3.7,80.0,64.0,92.0,5.31,7.33,44.0,57,74
S0013,4.9,100.0,63.0,53.0,5.82,5.52,39.0,2,67
S0014,1.1,70.0,61.0,51.0,7.24,4.91,57.0,13,56
S0015,1.4,99.0,87.0,63.0,6.91,5.69,45.0,59,70
S0016,3.5,80.0,72.0,88.0,6.31,4.22,18.0,4,72
S0017,2.7,70.0,71.0,49.0,6.42,0.5,79.0,20,63
S0018,5.1,72.0,45.0,30.0,7.84,10.61,39.0,50,52
S0019,2.9,74.0,85.0,65.0,6.38,5.89,32.0,51,68
S0020,2.0,83.0,56.0,80.0,6.89,6.5,54.0,48,67
S0021,7.1,84.0,76.0,90.0,9.6,5.36,40.0,59,84
S0022,4.1,71.0,79.0,65.0,5.29,3.66,43.0,14,69
S0023,4.6,78.0,95.0,66.0,4.78,5.04,85.0,30,80
S0024,1.9,100.0,55.0,89.0,7.94,1.5,29.0,29,69
S0025,3.5,99.0,30.0,44.0,6.19,11.19,29.0,8,52
S0026,4.7,83.0,78.0,66.0,6.62,2.41,37.0,12,72
S0027,2.4,78.0,100.0,75.0,6.06,2.92,56.0,41,76
S0028,5.2,79.0,94.0,79.0,6.69,4.4,5.0,38,77
S0029,3.4,85.0,78.0,64.0,8.92,8.72,0.0,26,65
S0030,4.0,66.0,68.0,73.0,7.96,5.54,23.0,50,66
S0031,3.4,75.0,87.0,35.0,8.03,2.41,2.0,2,57
