student_id,study_hours,attendance,assignment_completion,quiz_average,sleep_hours,phone_usage,dsa_problems,exam_days_remaining,final_score,risk_score,risk_level
S0001,5.4,95.0,65.0,43.0,5.96,4.44,13.0,39,62.0,2,MEDIUM
S0002,4.3,89.0,73.0,59.0,6.96,4.37,22.0,52,72.0,1,LOW
S0003,5.7,79.0,63.0,66.0,7.02,1.01,16.0,9,62.0,2,MEDIUM
S0004,7.2,70.0,70.0,100.0,7.57,4.67,24.0,41,75.0,1,LOW
S0005,4.1,86.0,47.0,80.0,5.36,7.33,31.0,8,57.0,1,LOW
S0006,4.1,83.0,78.0,52.0,7.71,2.31,52.0,14,66.0,1,LOW
S0007,7.3,89.0,75.0,79.0,3.75,8.12,29.0,33,76.0,0,LOW
S0008,5.9,86.0,63.0,49.0,6.24,6.72,3.0,23,45.0,2,MEDIUM
S0009,3.7,91.0,85.0,88.0,6.41,3.66,58.0,21,69.0,0,LOW
S0010,5.5,72.0,89.0,65.0,7.76,5.15,18.0,55,69.0,2,MEDIUM
S0011,3.7,94.0,51.0,71.0,7.03,9.5,34.0,12,55.0,1,LOW
S0012,3.7,80.0,64.0,92.0,5.31,7.33,44.0,57,59.0,1,LOW
S0013,4.9,100.0,63.0,53.0,5.82,5.52,39.0,2,69.0,2,MEDIUM
S0014,1.1,70.0,61.0,51.0,7.24,4.91,57.0,13,42.0,4,HIGH
S0015,1.4,99.0,87.0,63.0,6.91,5.69,45.0,59,61.0,2,MEDIUM
S0016,3.5,80.0,72.0,88.0,6.31,4.22,18.0,4,64.0,0,LOW
S0017,2.7,70.0,71.0,49.0,6.42,0.5,79.0,20,51.0,2,MEDIUM
S0018,5.1,72.0,45.0,30.0,7.84,10.61,39.0,50,44.0,3,HIGH
S0019,2.9,74.0,85.0,65.0,6.38,5.89,32.0,51,62.0,2,MEDIUM
S0020,2.0,83.0,56.0,80.0,6.89,6.5,54.0,48,55.0,1,LOW
S0021,7.1,84.0,76.0,90.0,9.6,5.36,40.0,59,76.0,0,LOW
S0022,4.1,71.0,79.0,65.0,5.29,3.66,43.0,14,66.0,2,MEDIUM
S0023,4.6,78.0,95.0,66.0,4.78,5.04,85.0,30,61.0,1,LOW
S0024,1.9,100.0,55.0,89.0,7.94,1.5,29.0,29,57.0,2,MEDIUM
S0025,3.5,99.0,30.0,44.0,6.19,11.19,29.0,8,43.0,2,MEDIUM
S0026,4.7,83.0,78.0,66.0,6.62,2.41,37.0,12,63.0,1,LOW
S0027,2.4,78.0,100.0,75.0,6.06,2.92,56.0,41,66.0,0,LOW
S0028,5.2,79.0,94.0,79.0,6.69,4.4,5.0,38,76.0,0,LOW
S0029,3.4,85.0,78.0,64.0,8.92,8.72,0.0,26,52.0,1,LOW
S0030,4.0,66.0,68.0,73.0,7.96,5.54,23.0,50,70.0,2,MEDIUM
S0031,3.4,75.0,87.0,35.0,8.03,2.41,2.0,2,40.0,1,LOW
S0032,7.8,58.0,60.0,62.0,5.3,8.64,27.0,55,47.0,3,HIGH
S0033,4.5,83.0,82.0,79.0,5.62,7.33,45.0,40,74.0,0,LOW
S0034,2.6,86.0,83.0,57.0,3.59,6.85,17.0,56,50.0,1,LOW
S0035,6.0,72.0,91.0,73.0,6.03,7.29,6.0,14,62.0,1,LOW
S0036,2.3,97.0,100.0,79.0,8.15,11.49,36.0,6,73.0,0,LOW
S0037,4.9,63.0,81.0,67.0,7.62,10.96,52.0,42,59.0,2,MEDIUM
S0038,1.0,60.0,67.0,75.0,6.73,3.78,1.0,40,54.0,3,HIGH
S0039,2.1,81.0,75.0,58.0,6.97,9.56,51.0,31,50.0,1,LOW
S0040,4.9,91.0,48.0,69.0,6.17,6.46,51.0,17,63.0,2,MEDIUM
S0041,5.8,98.0,65.0,81.0,7.25,6.75,54.0,25,69.0,1,LOW
S0042,4.8,72.0,69.0,74.0,7.92,1.27,59.0,32,62.0,2,MEDIUM
S0043,4.3,91.0,67.0,63.0,5.06,5.07,79.0,12,76.0,2,MEDIUM
S0044,4.0,78.0,77.0,75.0,7.36,3.47,28.0,49,71.0,0,LOW
S0045,1.8,76.0,63.0,83.0,8.12,7.57,37.0,13,52.0,2,MEDIUM
S0046,3.2,89.0,92.0,41.0,6.5,8.18,27.0,19,54.0,1,LOW
S0047,3.7,86.0,75.0,89.0,7.84,0.5,35.0,44,80.0,0,LOW
S0048,6.4,59.0,75.0,67.0,10.38,5.44,66.0,48,62.0,2,MEDIUM
S0049,5.1,96.0,70.0,78.0,6.87,8.3,8.0,25,59.0,0,LOW
S0050,1.3,95.0,77.0,90.0,7.47,5.03,18.0,31,66.0,1,LOW
S0051,5.1,70.0,87.0,51.0,6.11,7.32,63.0,59,77.0,2,MEDIUM
S0052,3.8,83.0,62.0,61.0,7.22,6.38,55.0,37,58.0,2,MEDIUM
S0053,3.3,84.0,65.0,68.0,7.55,6.35,28.0,25,63.0,2,MEDIUM
S0054,5.6,81.0,70.0,60.0,7.23,4.82,52.0,16,58.0,1,LOW
S0055,6.4,71.0,55.0,98.0,5.78,2.46,42.0,57,75.0,2,MEDIUM
S0056,6.2,70.0,63.0,59.0,7.25,2.7,65.0,38,62.0,3,HIGH
S0057,3.0,78.0,68.0,64.0,8.75,7.27,36.0,43,67.0,2,MEDIUM
S0058,3.9,92.0,88.0,75.0,7.54,5.55,56.0,49,80.0,0,LOW
S0059,5.1,85.0,79.0,54.0,8.15,5.15,88.0,58,81.0,1,LOW
S0060,6.3,74.0,78.0,66.0,6.72,4.44,47.0,23,64.0,2,MEDIUM
S0061,3.6,87.0,88.0,77.0,7.9,4.74,36.0,14,69.0,0,LOW
S0062,4.2,44.0,73.0,67.0,7.34,8.12,49.0,6,59.0,2,MEDIUM
S0063,2.5,92.0,81.0,71.0,5.86,4.66,28.0,25,58.0,0,LOW
S0064,2.3,57.0,73.0,64.0,7.38,2.15,83.0,23,60.0,2,MEDIUM
S0065,6.0,74.0,79.0,49.0,5.81,7.36,39.0,60,66.0,2,MEDIUM
S0066,6.9,65.0,66.0,77.0,6.24,4.99,30.0,43,64.0,2,MEDIUM
S0067,4.4,62.0,38.0,98.0,7.23,5.58,18.0,12,54.0,2,MEDIUM
S0068,6.3,92.0,73.0,72.0,7.36,9.52,57.0,13,66.0,0,LOW
S0069,5.2,72.0,96.0,75.0,5.57,5.45,52.0,36,65.0,1,LOW
S0070,3.3,82.0,89.0,82.0,8.26,6.22,25.0,39,72.0,0,LOW
S0071,5.2,77.0,89.0,53.0,7.69,2.55,47.0,34,62.0,1,LOW
S0072,7.3,84.0,94.0,98.0,6.15,4.95,5.0,6,77.0,0,LOW
S0073,4.4,79.0,76.0,75.0,5.15,7.02,39.0,38,68.0,0,LOW
S0074,7.3,63.0,78.0,96.0,6.83,1.61,44.0,50,80.0,1,LOW
S0075,0.5,90.0,66.0,61.0,6.46,6.0,69.0,52,50.0,3,HIGH
S0076,6.0,72.0,70.0,99.0,7.14,5.75,20.0,40,77.0,1,LOW
S0077,4.7,59.0,84.0,84.0,6.56,5.6,9.0,8,62.0,1,LOW
S0078,4.0,73.0,93.0,80.0,4.59,8.09,17.0,8,53.0,1,LOW
S0079,4.7,96.0,73.0,76.0,6.53,6.34,8.0,40,73.0,0,LOW
S0080,0.9,88.0,68.0,68.0,6.63,9.2,62.0,33,49.0,3,HIGH
S0081,4.1,74.0,75.0,90.0,7.76,3.02,66.0,34,68.0,1,LOW
S0082,5.1,74.0,84.0,74.0,6.16,5.84,41.0,44,64.0,1,LOW
S0083,7.2,74.0,53.0,42.0,9.01,5.71,59.0,15,58.0,3,HIGH
S0084,3.6,100.0,41.0,55.0,4.71,2.83,38.0,36,51.0,2,MEDIUM
S0085,3.0,83.0,67.0,69.0,8.57,7.89,33.0,60,63.0,2,MEDIUM
S0086,3.6,83.0,57.0,77.0,6.73,11.31,28.0,57,66.0,1,LOW
S0087,6.1,90.0,67.0,71.0,8.03,5.46,29.0,35,63.0,1,LOW
S0088,5.1,81.0,73.0,90.0,7.1,6.76,4.0,46,62.0,0,LOW
